Partname,PowerW,Speedmms,EnergydensityJmm3,Hatchdistancemm,Layerthickmm,Time,Numpoints,EMapproxmean,EMapproxstd,EMapproxenergy,cD2detailpeak,cD2detailstd,cD2detailenergy,cD2detailentropy,cD2detailvariance,cD2detailskew,cD2detailkurt,cD1detailpeak,cD1detailstd,cD1detailenergy,cD1detailentropy,cD1detailvariance,cD1detailskew,cD1detailkurt,EMADRratio,EManomalydensity
H1_remelt,159.2,1200,73.7,0.06,0.03,2.1,194560,1669.632017,61.10503465,1.36E+11,71.04696041,17.56531157,15008957.42,-96387841.23,308.5401705,0.030419309,-0.161430288,70.95077223,18.1106103,31908263.82,-206657500.7,327.9942055,-0.034001763,-0.268420245,2894.201481,0.000904577
H1_remelt,159.2,1200,73.7,0.06,0.03,2.13,206234,1665.979831,62.94190053,1.43E+11,66.18918131,17.47993007,15755178.27,-100871298.8,305.5479553,0.049268945,-0.21027343,70.75669545,18.15580813,33991866.8,-220542162.7,329.6333687,-0.035921595,-0.247572778,2880.910914,0.001095811
H1_remelt,159.2,1200,73.7,0.06,0.03,2.16,194560,1671.794179,62.42293789,1.36E+11,70.6937566,17.39820162,14724877.35,-94255561.2,302.6974197,0.005834776,-0.169192585,75.32301253,18.14323282,32023416.19,-207714292.2,329.1768971,-0.022767588,-0.231784908,2912.347083,0.001202677
H1_remelt,159.2,1200,73.7,0.06,0.03,2.19,194428,1673.452647,63.5684689,1.36E+11,73.31538914,17.51363433,14910646.49,-95515693.07,306.7273874,0.036070229,-0.194203979,76.81905101,18.10413455,31863853.48,-206489027.7,327.7596879,-0.033427335,-0.235847186,2914.656725,0.001224066
H1_remelt,159.2,1200,73.7,0.06,0.03,2.22,193016,1671.754917,62.68945334,1.35E+11,68.27877007,17.52474227,14821160.24,-95058581.87,307.1165918,0.026368961,-0.185231604,70.40200749,18.13870251,31753471.55,-205890574.1,329.0125286,-0.033157901,-0.240816155,2899.909054,0.001191574
H1_remelt,159.2,1200,73.7,0.06,0.03,2.25,196207,1670.059969,62.05906412,1.37E+11,71.47255178,17.49991985,15023568.88,-96218850.25,306.2471948,0.034916134,-0.199338804,71.95203749,18.138352,32277190.95,-209202646.8,328.9998131,-0.03774534,-0.256184055,2896.651735,0.001039681
H1_remelt,159.2,1200,73.7,0.06,0.03,2.28,186835,1669.198077,61.55131138,1.30E+11,70.98562805,17.51835463,14336461.87,-91913427.85,306.8927489,0.029700447,-0.190614505,74.49571441,18.14282021,30750683.93,-199345394.4,329.1619251,-0.030844646,-0.258008229,2890.681178,0.000845634
H1_remelt,159.2,1200,73.7,0.06,0.03,2.31,196608,1672.380933,65.14451533,1.38E+11,70.21055147,17.58684846,15204125.15,-97612416.31,309.2972387,0.039226511,-0.178744127,71.88865424,18.12092567,32280894.61,-209147185.4,328.367947,-0.041630951,-0.261908278,2899.730517,0.000946016
H1_remelt,159.2,1200,73.7,0.06,0.03,2.34,190464,1674.600636,64.33383624,1.34E+11,74.49954285,17.45861913,14515453.91,-93056983.93,304.803382,0.028524903,-0.152452187,71.557399,18.12768622,31295463.63,-202836733,328.6130077,-0.042934908,-0.255294574,2919.392758,0.001008033
H1_remelt,159.2,1200,73.7,0.06,0.03,2.37,194117,1670.581148,62.50899144,1.36E+11,70.05577643,17.49315101,14851917.08,-95211706.95,306.0103324,0.032810363,-0.166852396,74.96038833,18.09191679,31770093.67,-205797638.6,327.3174531,-0.031180329,-0.253457131,2909.362627,0.001102388
